,movie_title,genres,country,language,imdb_score,actor_1_name
80,Iron Man 2 ,"Action, Adventure, Sci-Fi",USA,English,7.0,Robert Downey Jr.
81,Snow White and the Huntsman ,"Action, Adventure, Drama, Fantasy",USA,English,6.1,Chris Hemsworth
82,Maleficent ,"Action, Adventure, Family, Fantasy, Romance",USA,English,7.0,Angelina Jolie Pitt
83,Dawn of the Planet of the Apes ,"Action, Adventure, Drama, Sci-Fi",USA,English,7.6,Gary Oldman
84,The Lovers ,"Action, Adventure, Romance, Sci-Fi",Belgium,English,4.5,Tamsin Egerton
85,47 Ronin ,"Action, Adventure, Drama, Fantasy",USA,English,6.3,Keanu Reeves
86,Captain America: The Winter Soldier ,"Action, Adventure, Sci-Fi",USA,English,7.8,Scarlett Johansson
87,Shrek Forever After ,"Adventure, Animation, Comedy, Family, Fantasy",USA,English,6.4,Jon Hamm
88,Tomorrowland ,"Action, Adventure, Family, Mystery, Sci-Fi",USA,English,6.5,Judy Greer
89,Big Hero 6 ,"Action, Adventure, Animation, Comedy, Drama, Family, Sci-Fi",USA,English,7.9,Damon Wayans Jr.
90,Wreck-It Ralph ,"Adventure, Animation, Comedy, Family, Sci-Fi",USA,English,7.8,Jack McBrayer
91,The Polar Express ,"Adventure, Animation, Family, Fantasy",USA,English,6.6,Tom Hanks
92,Independence Day: Resurgence ,"Action, Adventure, Sci-Fi",USA,English,5.5,Vivica A. Fox
93,How to Train Your Dragon ,"Adventure, Animation, Family, Fantasy",USA,English,8.2,Gerard Butler
94,Terminator 3: Rise of the Machines ,"Action, Sci-Fi",USA,English,6.4,Nick Stahl
95,Guardians of the Galaxy ,"Action, Adventure, Sci-Fi",USA,English,8.1,Bradley Cooper
96,Interstellar ,"Adventure, Drama, Sci-Fi",USA,English,8.6,Matthew McConaughey
97,Inception ,"Action, Adventure, Sci-Fi, Thriller",USA,English,8.8,Leonardo DiCaprio
98,Godzilla Resurgence ,"Action, Adventure, Drama, Horror, Sci-Fi",Japan,Japanese,8.2,Mark Chinnery
99,The Hobbit: An Unexpected Journey ,"Adventure, Fantasy",USA,English,7.9,Aidan Turner
100,The Fast and the Furious ,"Action, Crime, Thriller",USA,English,6.7,Paul Walker
101,The Curious Case of Benjamin Button ,"Drama, Fantasy, Romance",USA,English,7.8,Brad Pitt
102,X-Men: First Class ,"Action, Adventure, Sci-Fi",USA,English,7.8,Jennifer Lawrence
103,The Hunger Games: Mockingjay - Part 2 ,"Adventure, Sci-Fi",USA,English,6.6,Jennifer Lawrence
104,The Sorcerer's Apprentice ,"Action, Adventure, Family, Fantasy",USA,English,6.1,Nicolas Cage
105,Poseidon ,"Action, Adventure, Drama, Thriller",USA,English,5.6,Jimmy Bennett
106,Alice Through the Looking Glass ,"Adventure, Family, Fantasy",USA,English,6.4,Johnny Depp
107,Shrek the Third ,"Adventure, Animation, Comedy, Family, Fantasy",USA,English,6.1,Justin Timberlake
108,Warcraft ,"Action, Adventure, Fantasy",USA,English,7.3,Dominic Cooper
109,Terminator Genisys ,"Action, Adventure, Sci-Fi",USA,English,6.6,J.K. Simmons
110,The Chronicles of Narnia: The Voyage of the Dawn Treader ,"Adventure, Family, Fantasy",USA,English,6.3,Bruce Spence
111,Pearl Harbor ,"Action, Drama, History, Romance, War",USA,English,6.1,Jennifer Garner
112,Transformers ,"Action, Adventure, Sci-Fi",USA,English,7.1,Zack Ward
113,Alexander ,"Action, Adventure, Biography, Drama, History, Romance, War",Germany,English,5.5,Anthony Hopkins
114,Harry Potter and the Order of the Phoenix ,"Adventure, Family, Fantasy, Mystery",UK,English,7.5,Robert Pattinson
115,Harry Potter and the Goblet of Fire ,"Adventure, Family, Fantasy, Mystery",UK,English,7.6,Robert Pattinson
116,Hancock ,"Action, Drama",USA,English,6.4,Will Smith
117,I Am Legend ,"Drama, Horror, Sci-Fi",USA,English,7.2,Will Smith
118,Charlie and the Chocolate Factory ,"Adventure, Comedy, Family, Fantasy",USA,English,6.7,Johnny Depp
119,Ratatouille ,"Animation, Comedy, Family, Fantasy",USA,English,8.0,Janeane Garofalo
120,Batman Begins ,"Action, Adventure",USA,English,8.3,Christian Bale
121,Madagascar: Escape 2 Africa ,"Action, Adventure, Animation, Comedy, Family",USA,English,6.7,Bernie Mac
122,Night at the Museum: Battle of the Smithsonian ,"Adventure, Comedy, Family, Fantasy",USA,English,5.9,Robin Williams
123,X-Men Origins: Wolverine ,"Action, Adventure, Fantasy, Sci-Fi, Thriller",USA,English,6.7,Hugh Jackman
124,The Matrix Revolutions ,"Action, Sci-Fi",Australia,English,6.7,Essie Davis
125,Frozen ,"Adventure, Animation, Comedy, Family, Fantasy, Musical",USA,English,7.6,Josh Gad
126,The Matrix Reloaded ,"Action, Sci-Fi",USA,English,7.2,Steve Bastoni
127,Thor: The Dark World ,"Action, Adventure, Fantasy",USA,English,7.1,Chris Hemsworth
128,Mad Max: Fury Road ,"Action, Adventure, Sci-Fi, Thriller",Australia,English,8.1,Tom Hardy
129,Angels & Demons ,"Mystery, Thriller",USA,English,6.7,Tom Hanks
130,Thor ,"Action, Adventure, Fantasy",USA,English,7.0,Chris Hemsworth
131,Bolt ,"Adventure, Animation, Comedy, Drama, Family",USA,English,6.9,Chloë Grace Moretz
132,G-Force ,"Action, Adventure, Animation, Comedy, Family, Fantasy, Sci-Fi",USA,English,5.1,Kelli Garner
133,Wrath of the Titans ,"Action, Adventure, Fantasy",USA,English,5.8,Liam Neeson
134,Dark Shadows ,"Comedy, Fantasy, Horror",USA,English,6.2,Johnny Depp
135,Mission: Impossible - Rogue Nation ,"Action, Adventure, Thriller",China,English,7.4,Tom Cruise
136,The Wolfman ,"Drama, Fantasy, Horror, Thriller",USA,English,5.8,Anthony Hopkins
137,The Legend of Tarzan ,"Action, Adventure, Drama, Romance",USA,English,6.6,Christoph Waltz
138,Bee Movie ,"Adventure, Animation, Comedy, Family",USA,English,6.2,Matthew Broderick
139,Kung Fu Panda 2 ,"Action, Adventure, Animation, Comedy, Family",USA,English,7.3,Angelina Jolie Pitt
140,The Last Airbender ,"Action, Adventure, Family, Fantasy",USA,English,4.2,Seychelle Gabriel
141,Mission: Impossible III ,"Action, Adventure, Thriller",USA,English,6.9,Philip Seymour Hoffman
142,White House Down ,"Action, Drama, Thriller",USA,English,6.4,Channing Tatum
143,Mars Needs Moms ,"Action, Adventure, Animation, Comedy, Family, Sci-Fi",USA,English,5.4,Elisabeth Harnois
144,Flushed Away ,"Adventure, Animation, Comedy, Family",UK,English,6.7,Hugh Jackman
145,Pan ,"Adventure, Family, Fantasy",USA,English,5.8,Hugh Jackman
146,Mr. Peabody & Sherman ,"Adventure, Animation, Comedy, Family, Sci-Fi",USA,English,6.9,Ty Burrell
147,Troy ,Adventure,USA,English,7.2,Brad Pitt
148,Madagascar 3: Europe's Most Wanted ,"Adventure, Animation, Comedy, Family",USA,English,6.9,Jada Pinkett Smith
149,Die Another Day ,"Action, Adventure, Thriller",UK,English,6.1,Toby Stephens
150,Ghostbusters ,"Action, Comedy, Fantasy, Sci-Fi",USA,English,5.5,Ed Begley Jr.
151,Armageddon ,"Action, Adventure, Sci-Fi, Thriller",USA,English,6.6,Bruce Willis
152,Men in Black II ,"Action, Adventure, Comedy, Family, Fantasy, Mystery, Sci-Fi",USA,English,6.1,Will Smith
153,Beowulf ,"Action, Adventure, Animation, Fantasy",USA,English,6.3,Robin Wright
154,Kung Fu Panda 3 ,"Action, Adventure, Animation, Comedy, Family",USA,English,7.2,J.K. Simmons
155,Mission: Impossible - Ghost Protocol ,"Action, Adventure, Thriller",USA,English,7.4,Tom Cruise
156,Rise of the Guardians ,"Adventure, Animation, Family, Fantasy",USA,English,7.3,Hugh Jackman
157,Fun with Dick and Jane ,"Comedy, Crime",USA,English,6.1,John Michael Higgins
158,The Last Samurai ,"Action, Drama, History, War",USA,English,7.7,Tom Cruise
159,Exodus: Gods and Kings ,"Action, Adventure, Drama",UK,English,6.1,Christian Bale
160,Star Trek ,"Action, Adventure, Sci-Fi",USA,English,8.0,Chris Hemsworth
161,Spider-Man ,"Action, Adventure, Fantasy, Romance",USA,English,7.3,J.K. Simmons
162,How to Train Your Dragon 2 ,"Action, Adventure, Animation, Comedy, Family, Fantasy",USA,English,7.9,Gerard Butler
163,Gods of Egypt ,"Action, Adventure, Fantasy",USA,English,5.5,Gerard Butler
164,Stealth ,"Action, Adventure, Sci-Fi, Thriller",USA,English,5.0,Sam Shepard
165,Watchmen ,"Action, Drama, Mystery, Sci-Fi",USA,English,7.7,Matt Frewer
166,Lethal Weapon 4 ,"Action, Crime, Thriller",USA,English,6.6,Jet Li
167,Hulk ,"Action, Sci-Fi",USA,English,5.7,Kevin Rankin
168,G.I. Joe: Retaliation ,"Action, Adventure, Sci-Fi, Thriller",USA,English,5.8,Channing Tatum
169,Sahara ,"Action, Adventure, Comedy, Thriller",UK,English,6.0,Matthew McConaughey
170,Final Fantasy: The Spirits Within ,"Action, Adventure, Animation, Fantasy, Romance, Sci-Fi",USA,English,6.4,Steve Buscemi
171,Captain America: The First Avenger ,"Action, Adventure, Sci-Fi",USA,English,6.9,Chris Evans
172,The World Is Not Enough ,"Action, Adventure, Thriller",UK,English,6.4,Colin Salmon
173,Master and Commander: The Far Side of the World ,"Action, Adventure, Drama, History, War",USA,English,7.4,James D'Arcy
174,The Twilight Saga: Breaking Dawn - Part 2 ,"Adventure, Drama, Fantasy, Romance",USA,English,5.5,Robert Pattinson
175,Happy Feet 2 ,"Animation, Comedy, Family, Musical",Australia,English,5.9,Robin Williams
176,The Incredible Hulk ,"Action, Adventure, Sci-Fi",USA,English,6.8,Ty Burrell
177,Miami Vice             ,"Action, Crime, Drama, Mystery, Thriller",USA,English,7.5,Don Johnson
178,The BFG ,"Adventure, Family, Fantasy",UK,English,6.8,Mark Rylance
179,The Revenant ,"Adventure, Drama, Thriller, Western",USA,English,8.1,Leonardo DiCaprio
180,Turbo ,"Adventure, Animation, Comedy, Family, Sport",USA,English,6.5,Ryan Reynolds
181,Rango ,"Adventure, Animation, Comedy, Family, Western",USA,English,7.2,Johnny Depp
182,Penguins of Madagascar ,"Adventure, Animation, Comedy, Family",USA,English,6.7,Benedict Cumberbatch
183,The Bourne Ultimatum ,"Action, Mystery, Thriller",USA,English,8.1,Matt Damon
184,Kung Fu Panda ,"Action, Adventure, Animation, Comedy, Family",USA,English,7.6,Angelina Jolie Pitt
185,Ant-Man ,"Action, Adventure, Comedy, Sci-Fi",USA,English,7.4,Judy Greer
186,The Hunger Games: Catching Fire ,"Adventure, Sci-Fi, Thriller",USA,English,7.6,Jennifer Lawrence
187,The Twilight Saga: Breaking Dawn - Part 2 ,"Adventure, Drama, Fantasy, Romance",USA,English,5.5,Robert Pattinson
188,Home ,"Adventure, Animation, Comedy, Family, Fantasy, Sci-Fi",USA,English,6.7,Jim Parsons
189,War of the Worlds ,"Adventure, Sci-Fi, Thriller",USA,English,6.5,Tom Cruise
190,Bad Boys II ,"Action, Comedy, Crime, Thriller",USA,English,6.6,Will Smith
191,Puss in Boots ,"Action, Adventure, Animation, Comedy, Family, Fantasy",USA,English,6.7,Salma Hayek
192,Salt ,"Action, Crime, Mystery, Thriller",USA,English,6.4,Angelina Jolie Pitt
193,Noah ,"Action, Adventure, Drama",USA,English,5.8,Anthony Hopkins
194,The Adventures of Tintin ,"Action, Adventure, Family, Mystery",USA,English,7.4,Toby Jones
195,Harry Potter and the Prisoner of Azkaban ,"Adventure, Family, Fantasy, Mystery",UK,English,7.8,Daniel Radcliffe
196,Australia ,"Adventure, Drama, Romance, War",Australia,English,6.6,Essie Davis
197,After Earth ,"Action, Adventure, Sci-Fi",USA,English,4.9,Will Smith
198,Dinosaur ,"Adventure, Animation, Family, Thriller",USA,English,6.5,Alfre Woodard
199,Harry Potter and the Deathly Hallows: Part II ,"Action, Fantasy",UK,English,7.5,Rupert Grint
200,Night at the Museum: Secret of the Tomb ,"Adventure, Comedy, Family, Fantasy",USA,English,6.2,Robin Williams
201,Megamind ,"Action, Animation, Comedy, Family, Sci-Fi",USA,English,7.3,J.K. Simmons
202,Harry Potter and the Sorcerer's Stone ,"Adventure, Family, Fantasy",UK,English,7.5,Daniel Radcliffe
203,R.I.P.D. ,"Action, Comedy, Fantasy",USA,English,5.6,Ryan Reynolds
204,Godzilla Resurgence ,"Action, Adventure, Drama, Horror, Sci-Fi",Japan,Japanese,8.2,Mark Chinnery
205,Pirates of the Caribbean: The Curse of the Black Pearl ,"Action, Adventure, Fantasy",USA,English,8.1,Johnny Depp
206,Harry Potter and the Deathly Hallows: Part I ,Fantasy,UK,English,6.4,Rupert Grint
207,The Hunger Games: Mockingjay - Part 1 ,"Adventure, Sci-Fi, Thriller",USA,English,6.7,Jennifer Lawrence
208,The Da Vinci Code ,"Mystery, Thriller",USA,English,6.6,Tom Hanks
209,Rio 2 ,"Adventure, Animation, Comedy, Family, Musical",USA,English,6.4,Miguel Ferrer
210,X-Men 2 ,"Action, Adventure, Fantasy, Sci-Fi, Thriller",Canada,English,7.5,Hugh Jackman
211,Fast Five ,"Action, Crime, Thriller",USA,English,7.3,Paul Walker
212,Sherlock Holmes: A Game of Shadows ,"Action, Adventure, Crime, Mystery, Thriller",USA,English,7.5,Robert Downey Jr.
213,Clash of the Titans ,"Action, Adventure, Fantasy",USA,English,5.8,Liam Neeson
214,Total Recall ,"Action, Sci-Fi",USA,English,7.5,Ronny Cox
215,The 13th Warrior ,"Action, Adventure, History",USA,English,6.6,Tony Curran
216,The Bourne Legacy ,"Action, Adventure, Thriller",USA,English,6.7,Jeremy Renner
217,Batman & Robin ,Action,USA,English,3.7,Michael Gough
218,How the Grinch Stole Christmas ,"Comedy, Family, Fantasy",USA,English,6.0,Clint Howard
219,The Day After Tomorrow ,"Action, Adventure, Sci-Fi, Thriller",USA,English,6.4,Jake Gyllenhaal
220,Mission: Impossible II ,"Action, Adventure, Thriller",USA,English,6.1,Tom Cruise
221,The Perfect Storm ,"Action, Adventure, Drama, Thriller",USA,English,6.4,Karen Allen
222,Fantastic 4: Rise of the Silver Surfer ,"Action, Adventure, Sci-Fi, Thriller",USA,English,5.6,Chris Evans
223,Life of Pi ,"Adventure, Drama, Fantasy",USA,English,8.0,Suraj Sharma
224,Ghost Rider ,"Action, Fantasy, Thriller",USA,English,5.2,Nicolas Cage
225,Jason Bourne ,"Action, Thriller",UK,English,7.1,Matt Damon
226,Charlie's Angels: Full Throttle ,"Action, Adventure, Comedy, Crime",USA,English,4.8,Demi Moore
227,Prometheus ,"Adventure, Mystery, Sci-Fi",USA,English,7.0,Michael Fassbender
228,Stuart Little 2 ,"Adventure, Animation, Comedy, Family, Fantasy",USA,English,5.4,Nathan Lane
229,Elysium ,"Action, Drama, Sci-Fi, Thriller",USA,English,6.6,Matt Damon
230,The Chronicles of Riddick ,"Action, Adventure, Sci-Fi, Thriller",USA,English,6.7,Vin Diesel
231,RoboCop ,"Action, Crime, Sci-Fi, Thriller",USA,English,6.2,Gary Oldman
232,Speed Racer ,"Action, Family, Sport",USA,English,6.1,Scott Porter
233,How Do You Know ,"Comedy, Drama, Romance",USA,English,5.3,Shelley Conn
234,Knight and Day ,"Action, Comedy, Romance",USA,English,6.3,Tom Cruise
235,Oblivion ,"Action, Adventure, Mystery, Sci-Fi",USA,English,7.0,Morgan Freeman
236,Star Wars: Episode III - Revenge of the Sith ,"Action, Adventure, Fantasy, Sci-Fi",USA,English,7.6,Natalie Portman
237,Star Wars: Episode II - Attack of the Clones ,"Action, Adventure, Fantasy, Sci-Fi",USA,English,6.7,Natalie Portman
238,"Monsters, Inc. ","Adventure, Animation, Comedy, Family, Fantasy",USA,English,8.1,Steve Buscemi
239,The Wolverine ,"Action, Adventure, Sci-Fi, Thriller",USA,English,6.7,Hugh Jackman
240,Star Wars: Episode I - The Phantom Menace ,"Action, Adventure, Fantasy, Sci-Fi",USA,English,6.5,Natalie Portman
241,The Croods ,"Adventure, Animation, Comedy, Family, Fantasy",USA,English,7.3,Ryan Reynolds
242,Asterix at the Olympic Games ,"Adventure, Comedy, Family, Fantasy",France,French,5.1,Alain Delon
243,Windtalkers ,"Action, Drama, War",USA,English,6.0,Nicolas Cage
244,The Huntsman: Winter's War ,"Action, Adventure, Drama, Fantasy",USA,English,6.1,Chris Hemsworth
245,Teenage Mutant Ninja Turtles ,"Action, Adventure, Comedy, Sci-Fi",USA,English,5.9,Noel Fisher
246,Gravity ,"Adventure, Drama, Sci-Fi, Thriller",UK,English,7.8,Phaldut Sharma
247,Dante's Peak ,"Action, Adventure, Thriller",USA,English,5.8,Jamie Renée Smith
248,Teenage Mutant Ninja Turtles: Out of the Shadows ,"Action, Adventure, Comedy, Sci-Fi",USA,English,6.3,Stephen Amell
249,Fantastic Four ,"Action, Adventure, Sci-Fi",USA,English,4.3,Tim Blake Nelson
250,Night at the Museum ,"Action, Adventure, Comedy, Family, Fantasy",USA,English,6.4,Robin Williams
251,San Andreas ,"Action, Adventure, Drama, Thriller",USA,English,6.1,Dwayne Johnson
252,Tomorrow Never Dies ,"Action, Adventure, Thriller",UK,English,6.5,Vincent Schiavelli
253,The Patriot ,"Action, Drama, History, War",USA,English,7.1,Heath Ledger
254,Ocean's Twelve ,"Crime, Thriller",USA,English,6.4,Brad Pitt
255,Mr. & Mrs. Smith ,"Action, Comedy, Crime, Romance, Thriller",USA,English,6.5,Brad Pitt
256,Insurgent ,"Adventure, Sci-Fi, Thriller",USA,English,6.3,Kate Winslet
257,The Aviator ,"Biography, Drama",USA,English,7.5,Leonardo DiCaprio
258,Gulliver's Travels ,"Adventure, Comedy, Family, Fantasy",USA,English,4.9,James Corden
259,The Green Hornet ,"Action, Comedy, Crime, Sci-Fi, Thriller",USA,English,5.8,Christoph Waltz
260,The A-Team             ,"Action, Adventure, Crime",USA,English,7.6,George Peppard
261,300: Rise of an Empire ,"Action, Drama, Fantasy, War",USA,English,6.2,Eva Green
262,The Smurfs ,"Adventure, Animation, Comedy, Family, Fantasy",USA,English,5.5,Mahadeo Shivraj
263,Home on the Range ,"Animation, Comedy, Family, Music, Western",USA,English,5.4,Steve Buscemi
264,Allegiant ,"Action, Adventure, Mystery, Sci-Fi, Thriller",USA,English,5.8,Naomi Watts
265,Real Steel ,"Action, Drama, Sci-Fi, Sport",USA,English,7.1,Hugh Jackman
266,The Smurfs 2 ,"Adventure, Animation, Comedy, Family, Fantasy",USA,English,5.4,Jacob Tremblay
267,Speed 2: Cruise Control ,"Action, Crime, Romance, Thriller",USA,English,3.7,Jason Patric
268,Ender's Game ,"Action, Sci-Fi",USA,English,6.7,Harrison Ford
269,Live Free or Die Hard ,"Action, Adventure, Thriller",USA,English,7.2,Bruce Willis
270,The Lord of the Rings: The Fellowship of the Ring ,"Action, Adventure, Drama, Fantasy",New Zealand,English,8.8,Christopher Lee
271,Around the World in 80 Days ,"Action, Adventure, Comedy",USA,English,5.8,Jim Broadbent
272,Ali ,"Biography, Drama, Sport",USA,English,6.8,Will Smith
273,The Cat in the Hat ,"Adventure, Comedy, Family, Fantasy",USA,English,3.8,Sean Hayes
274,"I, Robot ","Action, Mystery, Sci-Fi, Thriller",USA,English,7.1,Will Smith
275,Kingdom of Heaven ,"Action, Adventure, Drama, History, War",USA,English,7.2,Liam Neeson
276,Stuart Little ,"Adventure, Comedy, Family, Fantasy",Germany,English,5.9,Chazz Palminteri
277,The Princess and the Frog ,"Animation, Family, Fantasy, Musical, Romance",USA,English,7.1,Oprah Winfrey
278,The Martian ,"Adventure, Drama, Sci-Fi",USA,English,8.1,Matt Damon
280,The Island ,"Action, Adventure, Romance, Sci-Fi, Thriller",USA,English,6.9,Scarlett Johansson
281,Town & Country ,"Comedy, Romance",New Line,English,4.4,Del Zamora
282,Gone in Sixty Seconds ,"Action, Crime, Thriller",USA,English,6.5,Nicolas Cage
283,Gladiator ,"Action, Drama, Romance",USA,English,8.5,Djimon Hounsou
